,STNAME,OFFENSE,AA,AB,AW,AI,JA,JB,JW,JI,IBRC_Geo_ID,Statefips,Countyfips,Description,Year,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,state
0,Alabam,1107,13.0,1761.0,1438.0,7.0,2.0,92.0,86.0,,1000.0,1.0,0.0,Alabama,2019.0,4903185.0,3389396.0,1313291.0,34799.0,73715.0,5110.0,86874.0,4679907.0,223278.0,Alabam
1,Alaska,27,,2.0,20.0,7.0,,3.0,11.0,5.0,2000.0,2.0,0.0,Alaska,2019.0,731545.0,477488.0,27108.0,113953.0,47799.0,10498.0,54699.0,678333.0,53212.0,Alaska
2,Arizon,269,4.0,37.0,110.0,90.0,6.0,36.0,325.0,46.0,4000.0,4.0,0.0,Arizona,2019.0,7278717.0,6013442.0,376997.0,385903.0,268723.0,20169.0,213483.0,4968127.0,2310590.0,Arizon
3,Arkans,1553,38.0,1884.0,2689.0,18.0,12.0,195.0,415.0,1.0,5000.0,5.0,0.0,Arkansas,2019.0,3017804.0,2385258.0,473048.0,30717.0,50403.0,11786.0,66592.0,2781173.0,236631.0,Arkans
4,Califo,252,82.0,73.0,246.0,1.0,1.0,9.0,161.0,,6000.0,6.0,0.0,California,2019.0,39512223.0,28424739.0,2552757.0,649862.0,6110945.0,199805.0,1574115.0,23937343.0,15574880.0,Califo
5,Colora,564,31.0,75.0,568.0,24.0,15.0,62.0,744.0,7.0,8000.0,8.0,0.0,Colorado,2019.0,5758736.0,5006612.0,264479.0,92982.0,202664.0,11329.0,180670.0,4501832.0,1256904.0,Colora
6,Connec,290,,235.0,231.0,1.0,1.0,30.0,61.0,,9000.0,9.0,0.0,Connecticut,2019.0,3565287.0,2841541.0,434585.0,20567.0,176579.0,3879.0,88136.0,2964332.0,600955.0,Connec
7,Delawa,262,2.0,571.0,220.0,,,45.0,32.0,,10000.0,10.0,0.0,Delaware,2019.0,973764.0,674075.0,225544.0,6564.0,39863.0,1059.0,26659.0,880373.0,93391.0,Delawa
8,Distri,18,,96.0,3.0,,,6.0,,,11000.0,11.0,0.0,District of Columbia,2019.0,705749.0,324581.0,324484.0,4130.0,31502.0,923.0,20129.0,626272.0,79477.0,Distri
9,Distri,18,,96.0,3.0,,,6.0,,,11001.0,11.0,1.0,"District of Columbia, DC",2019.0,705749.0,324581.0,324484.0,4130.0,31502.0,923.0,20129.0,626272.0,79477.0,Distri
10,Federa,54,22.0,99.0,74.0,6.0,,,12.0,,,,,,,,,,,,,,,,Federa
11,Florid,267,18.0,539.0,820.0,7.0,2.0,70.0,86.0,,12000.0,12.0,0.0,Florida,2019.0,21477737.0,16597392.0,3633515.0,108950.0,634827.0,24641.0,478412.0,15813877.0,5663860.0,Florid
12,Georgi,1957,38.0,4490.0,2269.0,8.0,2.0,302.0,280.0,2.0,13000.0,13.0,0.0,Georgia,2019.0,10617423.0,6391505.0,3458147.0,56008.0,463966.0,12411.0,235386.0,9568699.0,1048724.0,Georgi
13,Guam,9,2.0,,,,20.0,1.0,,,,,,,,,,,,,,,,,Guam
14,Hawaii,43,72.0,18.0,68.0,1.0,76.0,1.0,18.0,,15000.0,15.0,0.0,Hawaii,2019.0,1415872.0,361317.0,30958.0,5570.0,532190.0,143549.0,342288.0,1265008.0,150864.0,Hawaii
15,Idaho,798,33.0,180.0,2352.0,72.0,7.0,17.0,524.0,19.0,16000.0,16.0,0.0,Idaho,2019.0,1787065.0,1662365.0,16346.0,31120.0,27711.0,3944.0,45579.0,1557575.0,229490.0,Idaho
16,Illino,1103,64.0,1201.0,1384.0,3.0,9.0,112.0,281.0,4.0,17000.0,17.0,0.0,Illinois,2019.0,12671821.0,9726915.0,1852516.0,75500.0,747690.0,8385.0,260815.0,10451939.0,2219882.0,Illino
17,Indian,1399,54.0,1905.0,2907.0,9.0,2.0,161.0,449.0,,18000.0,18.0,0.0,Indiana,2019.0,6732219.0,5709592.0,669596.0,28340.0,174750.0,4539.0,145402.0,6242866.0,489353.0,Indian
18,Iowa,1289,52.0,1033.0,2317.0,43.0,13.0,138.0,464.0,6.0,19000.0,19.0,0.0,Iowa,2019.0,3155070.0,2859080.0,128105.0,17060.0,84119.0,4804.0,61902.0,2956520.0,198550.0,Iowa
19,Kansas,1570,33.0,1424.0,3044.0,29.0,10.0,136.0,543.0,5.0,20000.0,20.0,0.0,Kansas,2019.0,2913314.0,2513846.0,178725.0,35063.0,92862.0,3687.0,89131.0,2557241.0,356073.0,Kansas
20,Kentuc,1229,16.0,1011.0,1714.0,5.0,,83.0,126.0,,21000.0,21.0,0.0,Kentucky,2019.0,4467673.0,3909923.0,378479.0,13404.0,71504.0,4192.0,90171.0,4292967.0,174706.0,Kentuc
21,Louisi,1209,24.0,3956.0,3031.0,14.0,4.0,383.0,275.0,1.0,22000.0,22.0,0.0,Louisiana,2019.0,4648794.0,2918843.0,1524733.0,36596.0,84192.0,2854.0,81576.0,4401822.0,246972.0,Louisi
22,Maine,117,,1.0,50.0,,,4.0,87.0,,23000.0,23.0,0.0,Maine,2019.0,1344212.0,1269326.0,22691.0,9767.0,17420.0,455.0,24553.0,1320512.0,23700.0,Maine
23,Maryla,616,31.0,2582.0,1443.0,7.0,2.0,105.0,97.0,,24000.0,24.0,0.0,Maryland,2019.0,6045680.0,3539444.0,1878645.0,36840.0,406303.0,6705.0,177743.0,5401858.0,643822.0,Maryla
24,Massac,182,12.0,59.0,118.0,,1.0,4.0,20.0,,25000.0,25.0,0.0,Massachusetts,2019.0,6892503.0,5554165.0,621902.0,34310.0,497517.0,7410.0,177199.0,6037596.0,854907.0,Massac
25,Michig,223,1.0,79.0,122.0,2.0,,34.0,58.0,3.0,26000.0,26.0,0.0,Michigan,2019.0,9986857.0,7911567.0,1407890.0,73865.0,336384.0,4186.0,252965.0,9458652.0,528205.0,Michig
26,Minnes,1145,49.0,782.0,1380.0,50.0,9.0,68.0,280.0,4.0,27000.0,27.0,0.0,Minnesota,2019.0,5639632.0,4723931.0,395556.0,77479.0,292507.0,4214.0,145945.0,5324502.0,315130.0,Minnes
27,Missis,735,15.0,1942.0,1012.0,6.0,,111.0,59.0,,28000.0,28.0,0.0,Mississippi,2019.0,2976149.0,1758081.0,1124559.0,18705.0,33032.0,1806.0,39966.0,2876039.0,100110.0,Missis
28,Missou,1928,42.0,2146.0,3274.0,23.0,5.0,249.0,557.0,1.0,29000.0,29.0,0.0,Missouri,2019.0,6137428.0,5086188.0,725579.0,35839.0,133312.0,9857.0,146653.0,5868720.0,268708.0,Missou
29,Montan,61,1.0,,13.0,26.0,,1.0,32.0,24.0,30000.0,30.0,0.0,Montana,2019.0,1068778.0,950211.0,6389.0,71096.0,9833.0,920.0,30329.0,1025489.0,43289.0,Montan
30,Nebras,1078,57.0,726.0,2509.0,120.0,7.0,74.0,493.0,19.0,31000.0,31.0,0.0,Nebraska,2019.0,1934408.0,1704129.0,100763.0,29285.0,53187.0,2349.0,44695.0,1714763.0,219645.0,Nebras
31,Nevada,243,20.0,204.0,373.0,6.0,11.0,59.0,288.0,13.0,32000.0,32.0,0.0,Nevada,2019.0,3080156.0,2277552.0,316303.0,51946.0,268166.0,24585.0,141604.0,2179556.0,900600.0,Nevada
32,New Ha,689,10.0,108.0,1123.0,1.0,,9.0,149.0,,33000.0,33.0,0.0,New Hampshire,2019.0,1359711.0,1266097.0,24371.0,4114.0,40300.0,672.0,24157.0,1305122.0,54589.0,New Ha
33,New Je,347,22.0,470.0,469.0,1.0,2.0,11.0,22.0,,34000.0,34.0,0.0,New Jersey,2019.0,8882190.0,6388804.0,1337457.0,55429.0,886810.0,10240.0,203450.0,7025346.0,1856844.0,New Je
34,New Me,163,,8.0,121.0,110.0,,1.0,61.0,25.0,35000.0,35.0,0.0,New Mexico,2019.0,2096829.0,1716656.0,54772.0,229794.0,37550.0,3341.0,54716.0,1063887.0,1032942.0,New Me
35,New Yo,241,8.0,264.0,408.0,4.0,1.0,4.0,18.0,,36000.0,36.0,0.0,New York,2019.0,19453561.0,13546776.0,3421123.0,189748.0,1753199.0,27034.0,515681.0,15702503.0,3751058.0,New Yo
36,North,3132,97.0,5867.0,5292.0,368.0,7.0,289.0,481.0,76.0,,,,,,,,,,,,,,,North
37,Ohio,957,10.0,1702.0,1844.0,,1.0,115.0,183.0,1.0,39000.0,39.0,0.0,Ohio,2019.0,11689100.0,9552736.0,1525570.0,34010.0,291478.0,7055.0,278251.0,11218638.0,470462.0,Ohio
38,Oklaho,1497,91.0,894.0,2018.0,335.0,5.0,166.0,391.0,47.0,40000.0,40.0,0.0,Oklahoma,2019.0,3956971.0,2927354.0,307819.0,371104.0,94253.0,8581.0,247860.0,3518861.0,438110.0,Oklaho
39,Oregon,350,20.0,10.0,285.0,5.0,4.0,7.0,290.0,7.0,41000.0,41.0,0.0,Oregon,2019.0,4217737.0,3655136.0,93740.0,77115.0,204739.0,19245.0,167762.0,3650890.0,566847.0,Oregon
40,Pennsy,1333,75.0,2471.0,4328.0,8.0,1.0,113.0,342.0,,42000.0,42.0,0.0,Pennsylvania,2019.0,12801989.0,10447062.0,1540092.0,50687.0,481877.0,9994.0,272277.0,11801839.0,1000150.0,Pennsy
41,Rhode,232,3.0,123.0,204.0,1.0,1.0,8.0,48.0,,,,,,,,,,,,,,,,Rhode
42,South,2795,62.0,5964.0,3915.0,320.0,8.0,583.0,627.0,128.0,,,,,,,,,,,,,,,South
43,Tennes,2954,70.0,4060.0,6916.0,21.0,18.0,563.0,1003.0,3.0,47000.0,47.0,0.0,Tennessee,2019.0,6829174.0,5354405.0,1164461.0,32661.0,134076.0,6578.0,136993.0,6437792.0,391382.0,Tennes
44,Texas,4521,199.0,5496.0,9437.0,38.0,23.0,515.0,2189.0,4.0,48000.0,48.0,0.0,Texas,2019.0,28995881.0,22806130.0,3739221.0,294902.0,1510470.0,43212.0,601946.0,17470303.0,11525578.0,Texas
45,Utah,1092,135.0,469.0,2903.0,139.0,31.0,64.0,1153.0,26.0,49000.0,49.0,0.0,Utah,2019.0,3205958.0,2904132.0,47537.0,49720.0,85727.0,33979.0,84863.0,2743907.0,462051.0,Utah
46,Vermon,31,1.0,1.0,24.0,,,,11.0,,50000.0,50.0,0.0,Vermont,2019.0,623989.0,588102.0,8774.0,2441.0,11964.0,247.0,12461.0,611270.0,12719.0,Vermon
47,Virgin,845,17.0,814.0,761.0,3.0,1.0,94.0,137.0,,51000.0,51.0,0.0,Virginia,2019.0,8535519.0,5922648.0,1696911.0,46602.0,589710.0,10092.0,269556.0,7701097.0,834422.0,Virgin
48,Washin,120,10.0,9.0,60.0,5.0,1.0,4.0,61.0,2.0,53000.0,53.0,0.0,Washington,2019.0,7614893.0,5977696.0,331924.0,146799.0,727986.0,60349.0,370139.0,6623172.0,991721.0,Washin
49,West V,781,9.0,499.0,1291.0,,1.0,9.0,43.0,,54000.0,54.0,0.0,West Virginia,2019.0,1792147.0,1675122.0,64610.0,4585.0,14703.0,530.0,32597.0,1760985.0,31162.0,West V
50,Wiscon,2495,110.0,2748.0,5298.0,234.0,20.0,352.0,1043.0,42.0,55000.0,55.0,0.0,Wisconsin,2019.0,5822434.0,5067781.0,390543.0,68628.0,175279.0,3419.0,116784.0,5409226.0,413208.0,Wiscon
51,Wyomin,373,7.0,87.0,826.0,64.0,1.0,6.0,205.0,16.0,56000.0,56.0,0.0,Wyoming,2019.0,578759.0,535371.0,7467.0,15778.0,6571.0,596.0,12976.0,520150.0,58609.0,Wyomin
